cycle,target_ph,is_test,steps,mean_ph,mean_abs_error,rmse,max_abs_error,reward_sum,squared_error_cost_sum,absolute_error_cost_sum,move_cost_sum,total_cost_sum,train_updates
0,4.856581687927246,False,400,4.7238085943692,0.1454164760962363,0.172836826662593,0.3976116835912275,-71.07313505503377,11.94902746031809,58.16659043849455,95.75171562211312,71.07313505503377,337
1,4.829573631286621,False,400,4.792858530369754,0.0871599743370955,0.1090643809166443,0.3503749043108914,-40.57849529530561,4.7580156738923565,34.86398973483822,95.64898865750314,40.57849529530561,400
2,5.03701639175415,False,400,4.86548980088388,0.1724833803650537,0.1937864335381056,0.4246512325802474,-84.77574754196023,15.021272729367457,68.99335214602148,76.11226665713048,84.77574754196023,400
3,4.782139778137207,False,400,4.856617742659656,0.0979519936038673,0.1220797325544967,0.278890217526774,-45.99433407831755,5.961384440230977,39.18079744154693,85.2152196539646,45.99433407831755,400
4,4.652917861938477,False,400,4.805324730291648,0.1564315938148306,0.1776301396762652,0.4081121337255045,-75.9237794102734,12.620986608563795,62.572637525932265,73.0155275777341,75.9237794102734,400
5,4.645994186401367,False,400,4.774077283534212,0.1327963640454957,0.1541111384182055,0.4057598735439738,-63.36169772134186,9.50009719382212,53.11854561819828,74.30549093214586,63.36169772134186,400
6,4.859607696533203,False,400,4.800031680662125,0.0783380131976744,0.0993227245953745,0.3223919912984181,-35.87048183026659,3.946001448419449,31.3352052790698,58.92751027773471,35.87048183026659,400
7,4.634143352508545,False,400,4.7320224696372994,0.1071416721073666,0.1267815352331922,0.318173800223458,-49.93815656667966,6.429423070434061,42.85666884294664,65.20646532989554,49.93815656667966,400
8,4.68795108795166,False,400,4.728130051498871,0.067718398129882,0.0850751787757489,0.2517584959575423,-30.51146498933153,2.8951144174902543,27.0873592519528,52.8991319888479,30.51146498933153,400
9,4.845215320587158,False,400,4.829456954792288,0.0576712453666067,0.0724702536783767,0.2255868137650276,-25.654067653246077,2.1007750672833088,23.06849814664271,48.47944393200555,25.654067653246077,400
