group,description,n_intervals,median_dt_s,mean_dt_s,std_dt_s,min_dt_s,p05_dt_s,p95_dt_s,max_dt_s,intervals_45_to_90_s,fraction_45_to_90_s,intervals_gt_15_min,trial_id,session_id,split,n_total,n_model_valid,start_time,end_time
trial_0,trial_id 0,19,140.911,140.9831052631579,0.4896760714704751,140.217,140.4609,141.5113,142.522,0,0.0,0,0,0,train,20,20,2026-05-11 19:46:07.807000+00:00,2026-05-11 20:30:46.486000+00:00
trial_1,trial_id 1,30,141.436,2158.3634333333334,11047.308218442313,138.312,139.86105,143.63735,60650.009,0,0.0,1,1,1,train,30,30,2026-05-12 13:21:36.495000+00:00,2026-05-12 14:29:57.389000+00:00
trial_2,trial_id 2,30,141.8835,141.86443333333332,0.4212541769635008,141.218,141.31705,142.5207,142.968,0,0.0,0,2,1,train,30,30,2026-05-12 14:32:18.768000+00:00,2026-05-12 15:40:53.322000+00:00
trial_3,trial_id 3,30,142.404,142.37460000000002,0.5894627945908866,141.22,141.506,143.2353,143.561,0,0.0,0,3,1,train,30,30,2026-05-12 15:43:15.106000+00:00,2026-05-12 16:52:04.560000+00:00
trial_4,trial_id 4,5,142.423,142.3748,0.8563084724560389,141.026,141.2798,143.2306,143.341,0,0.0,0,4,1,train,5,5,2026-05-12 16:54:25.586000+00:00,2026-05-12 17:03:56.434000+00:00
trial_5,trial_id 5,30,142.3955,222.53393333333327,439.0416155417533,141.177,141.3483,144.3602,2547.103,0,0.0,1,5,2,train,30,30,2026-05-12 17:46:23.537000+00:00,2026-05-12 18:55:12.452000+00:00
trial_6,trial_id 6,30,142.13850000000002,142.11613333333332,0.39661844196374374,141.462,141.53895,142.83915,142.912,0,0.0,0,6,2,train,30,30,2026-05-12 18:57:34.436000+00:00,2026-05-12 20:06:15.936000+00:00
trial_7,trial_id 7,30,141.7945,141.83063333333334,0.4587231516776301,141.02,141.17715,142.66375,143.042,0,0.0,0,7,2,train,30,30,2026-05-12 20:08:37.316000+00:00,2026-05-12 21:17:10.855000+00:00
trial_8,trial_id 8,30,141.7645,141.7923,0.39509546205686813,140.913,141.13569999999999,142.38085,142.625,0,0.0,0,8,2,train,30,0,2026-05-12 21:19:32.410000+00:00,2026-05-12 22:28:04.624000+00:00
trial_9,trial_id 9,30,141.485,141.4017333333333,0.8352849166326554,140.123,140.1774,142.6397,143.142,0,0.0,0,9,2,train,30,0,2026-05-12 22:30:26.019000+00:00,2026-05-12 23:38:46.676000+00:00
trial_10,trial_id 10,26,140.50349999999997,140.49384615384616,0.2609781128459163,140.001,140.06900000000002,140.80124999999998,141.098,0,0.0,0,10,2,train,26,0,2026-05-12 23:41:07.484000+00:00,2026-05-13 00:39:39.516000+00:00
trial_11,trial_id 11,30,140.3185,1682.2162999999998,8444.911194592152,140.057,140.0964,141.96474999999998,46395.077,0,0.0,1,11,3,train,30,30,2026-05-13 13:32:54.593000+00:00,2026-05-13 14:40:46.005000+00:00
trial_12,trial_id 12,30,140.2935,140.26510000000002,0.1640772210965266,139.86,139.94675,140.46295,140.495,0,0.0,0,12,3,train,30,30,2026-05-13 14:43:06.264000+00:00,2026-05-13 15:50:53.958000+00:00
trial_13,trial_id 13,30,140.41449999999998,140.41963333333334,0.24860652796563018,139.982,140.06990000000002,140.89115,140.947,0,0.0,0,13,3,train,30,30,2026-05-13 15:53:14.452000+00:00,2026-05-13 17:01:06.547000+00:00
trial_14,trial_id 14,30,140.223,140.24573333333333,0.24523752502046015,139.704,139.8887,140.565,140.624,0,0.0,0,14,3,train,30,30,2026-05-13 17:03:27.121000+00:00,2026-05-13 18:11:13.919000+00:00
trial_15,trial_id 15,6,139.93099999999998,139.89633333333333,0.14146896008194945,139.634,139.69275,140.02025,140.034,0,0.0,0,15,3,train,6,6,2026-05-13 18:13:33.788000+00:00,2026-05-13 18:25:13.297000+00:00
trial_16,trial_id 16,2,39660.4485,39660.4485,55987.60972645183,71.23,4030.1518500000006,75290.74515,79249.667,1,0.5,1,16,4,train,2,2,2026-05-14 16:26:02.964000+00:00,2026-05-14 16:27:14.194000+00:00
trial_17,trial_id 17,10,69.7315,80.54190000000001,33.468552601077796,69.535,69.55749999999999,128.83879999999988,175.781,9,0.9,0,17,4,train,10,10,2026-05-14 16:30:09.975000+00:00,2026-05-14 16:40:39.613000+00:00
trial_18,trial_id 18,10,70.0745,70.0229,0.12339138273531661,69.75,69.79814999999999,70.11875,70.13,10,1.0,0,18,4,train,10,10,2026-05-14 16:41:49.706000+00:00,2026-05-14 16:52:19.842000+00:00
trial_19,trial_id 19,10,70.084,70.06719999999999,0.11659788448624071,69.891,69.91395,70.2245,70.247,10,1.0,0,19,4,train,10,10,2026-05-14 16:53:29.733000+00:00,2026-05-14 17:04:00.514000+00:00
trial_20,trial_id 20,10,70.0535,70.02860000000001,0.1294108015412754,69.843,69.8439,70.18719999999999,70.243,10,1.0,0,20,4,train,10,10,2026-05-14 17:05:10.631000+00:00,2026-05-14 17:15:40.800000+00:00
trial_21,trial_id 21,10,70.0235,70.0285,0.09612983118909586,69.882,69.90495,70.1801,70.181,10,1.0,0,21,4,train,10,10,2026-05-14 17:16:50.776000+00:00,2026-05-14 17:27:21.085000+00:00
trial_22,trial_id 22,10,70.0955,70.05330000000001,0.12385569560312064,69.851,69.8861,70.18884999999999,70.21,10,1.0,0,22,4,train,10,10,2026-05-14 17:28:31.023000+00:00,2026-05-14 17:39:01.618000+00:00
trial_23,trial_id 23,10,70.1865,70.174,0.15130102445125576,69.932,69.96935,70.3817,70.478,10,1.0,0,23,4,train,10,10,2026-05-14 17:40:11.882000+00:00,2026-05-14 17:50:43.358000+00:00
trial_24,trial_id 24,10,70.03450000000001,70.06750000000001,0.10018566098333045,69.968,69.97835,70.24775,70.25,10,1.0,0,24,4,train,10,10,2026-05-14 17:51:53.349000+00:00,2026-05-14 18:02:24.033000+00:00
trial_25,trial_id 25,10,70.071,70.0595,0.11559820260040539,69.812,69.88625,70.1959,70.231,10,1.0,0,25,4,train,10,10,2026-05-14 18:03:34.065000+00:00,2026-05-14 18:14:04.628000+00:00
