trial_id,split,n_total,n_model_valid,start_time,end_time,duration_min
0,train,20,20,2026-05-11 19:46:07.807000+00:00,2026-05-11 20:30:46.486000+00:00,44.64465
1,train,30,30,2026-05-12 13:21:36.495000+00:00,2026-05-12 14:29:57.389000+00:00,68.34823333333334
2,train,30,30,2026-05-12 14:32:18.768000+00:00,2026-05-12 15:40:53.322000+00:00,68.5759
3,train,30,30,2026-05-12 15:43:15.106000+00:00,2026-05-12 16:52:04.560000+00:00,68.82423333333332
4,train,5,5,2026-05-12 16:54:25.586000+00:00,2026-05-12 17:03:56.434000+00:00,9.514133333333332
5,train,30,30,2026-05-12 17:46:23.537000+00:00,2026-05-12 18:55:12.452000+00:00,68.81525
6,train,30,30,2026-05-12 18:57:34.436000+00:00,2026-05-12 20:06:15.936000+00:00,68.69166666666666
7,train,30,30,2026-05-12 20:08:37.316000+00:00,2026-05-12 21:17:10.855000+00:00,68.55898333333333
8,train,30,0,2026-05-12 21:19:32.410000+00:00,2026-05-12 22:28:04.624000+00:00,68.5369
9,train,30,0,2026-05-12 22:30:26.019000+00:00,2026-05-12 23:38:46.676000+00:00,68.34428333333334
10,train,26,0,2026-05-12 23:41:07.484000+00:00,2026-05-13 00:39:39.516000+00:00,58.53386666666667
11,train,30,30,2026-05-13 13:32:54.593000+00:00,2026-05-13 14:40:46.005000+00:00,67.85686666666666
12,train,30,30,2026-05-13 14:43:06.264000+00:00,2026-05-13 15:50:53.958000+00:00,67.7949
13,train,30,30,2026-05-13 15:53:14.452000+00:00,2026-05-13 17:01:06.547000+00:00,67.86825
14,train,30,30,2026-05-13 17:03:27.121000+00:00,2026-05-13 18:11:13.919000+00:00,67.77996666666667
15,train,6,6,2026-05-13 18:13:33.788000+00:00,2026-05-13 18:25:13.297000+00:00,11.658483333333333
16,train,2,2,2026-05-14 16:26:02.964000+00:00,2026-05-14 16:27:14.194000+00:00,1.1871666666666667
17,train,10,10,2026-05-14 16:30:09.975000+00:00,2026-05-14 16:40:39.613000+00:00,10.493966666666667
18,train,10,10,2026-05-14 16:41:49.706000+00:00,2026-05-14 16:52:19.842000+00:00,10.502266666666666
19,train,10,10,2026-05-14 16:53:29.733000+00:00,2026-05-14 17:04:00.514000+00:00,10.513016666666665
20,train,10,10,2026-05-14 17:05:10.631000+00:00,2026-05-14 17:15:40.800000+00:00,10.502816666666666
21,train,10,10,2026-05-14 17:16:50.776000+00:00,2026-05-14 17:27:21.085000+00:00,10.505149999999999
22,train,10,10,2026-05-14 17:28:31.023000+00:00,2026-05-14 17:39:01.618000+00:00,10.509916666666667
23,train,10,10,2026-05-14 17:40:11.882000+00:00,2026-05-14 17:50:43.358000+00:00,10.5246
24,train,10,10,2026-05-14 17:51:53.349000+00:00,2026-05-14 18:02:24.033000+00:00,10.5114
25,train,10,10,2026-05-14 18:03:34.065000+00:00,2026-05-14 18:14:04.628000+00:00,10.509383333333334
26,train,10,10,2026-05-14 18:15:14.837000+00:00,2026-05-14 18:25:44.101000+00:00,10.487733333333333
27,train,10,10,2026-05-14 18:26:53.644000+00:00,2026-05-14 18:37:24.197000+00:00,10.509216666666667
28,train,10,10,2026-05-14 18:38:34.262000+00:00,2026-05-14 18:49:04.302000+00:00,10.500666666666666
29,train,10,10,2026-05-14 18:50:14.380000+00:00,2026-05-14 19:00:44.736000+00:00,10.505933333333333
30,train,10,10,2026-05-14 19:01:54.826000+00:00,2026-05-14 19:12:25.897000+00:00,10.517850000000001
31,train,10,10,2026-05-14 19:13:36.465000+00:00,2026-05-14 19:24:07.686000+00:00,10.52035
32,train,9,9,2026-05-14 19:25:18.011000+00:00,2026-05-14 19:34:39.008000+00:00,9.34995
33,train,10,0,2026-05-14 22:05:44.519000+00:00,2026-05-14 22:16:10.351000+00:00,10.430533333333333
34,train,1,1,2026-05-14 22:17:19.747000+00:00,2026-05-14 22:17:19.747000+00:00,0.0
35,train,10,10,2026-05-14 22:22:00.127000+00:00,2026-05-14 22:32:24.746000+00:00,10.410316666666667
36,train,10,10,2026-05-14 22:33:34.101000+00:00,2026-05-14 22:43:56.616000+00:00,10.37525
37,train,10,10,2026-05-14 22:45:05.820000+00:00,2026-05-14 22:55:28.025000+00:00,10.370083333333334
38,train,10,10,2026-05-14 22:56:37.104000+00:00,2026-05-14 23:06:59.332000+00:00,10.370466666666665
39,train,10,10,2026-05-14 23:08:08.487000+00:00,2026-05-14 23:18:31.133000+00:00,10.377433333333332
40,train,10,10,2026-05-14 23:19:40.400000+00:00,2026-05-14 23:30:02.840000+00:00,10.374
41,train,10,10,2026-05-14 23:31:11.920000+00:00,2026-05-14 23:41:34.393000+00:00,10.37455
42,train,10,10,2026-05-14 23:42:43.586000+00:00,2026-05-14 23:53:05.526000+00:00,10.365666666666668
43,train,10,10,2026-05-14 23:54:14.552000+00:00,2026-05-15 00:04:35.973000+00:00,10.357016666666668
44,train,10,10,2026-05-15 00:05:45.242000+00:00,2026-05-15 00:16:07.219000+00:00,10.366283333333334
