source,group,n,acid_flow_min,acid_flow_mean,acid_flow_max,acetate_flow_min,acetate_flow_mean,acetate_flow_max,water_flow_min,water_flow_mean,water_flow_max,total_flow_min,total_flow_mean,total_flow_max,water_fraction_min,water_fraction_mean,water_fraction_max,total_buffer_mol_l_min,total_buffer_mol_l_mean,total_buffer_mol_l_max,ph_equilibrium_charge_balance_min,ph_equilibrium_charge_balance_mean,ph_equilibrium_charge_balance_max,ph_equilibrium_affine_min,ph_equilibrium_affine_mean,ph_equilibrium_affine_max
pump_grid,all,1000,1.0,5.5,10.0,1.0,5.5,10.0,1.0,5.5,10.0,3.0,16.5,30.0,0.047619047619047616,0.33333333333333337,0.8333333333333334,0.016666666666666666,0.06666666666666667,0.09523809523809523,3.7696550220175356,4.761223409570523,5.76017372088345,3.6381841517703415,4.4224285349038475,5.2125113779137715
pump_grid,water_flow=1,100,1.0,5.5,10.0,1.0,5.5,10.0,1.0,1.0,1.0,3.0,12.0,21.0,0.047619047619047616,0.09720835227723772,0.3333333333333333,0.06666666666666667,0.09027916477227625,0.09523809523809523,3.7696550220175356,4.760845498578885,5.760099279243066,3.6381841517703415,4.422129640166745,5.21245250104852
pump_grid,water_flow=2,100,1.0,5.5,10.0,1.0,5.5,10.0,2.0,2.0,2.0,4.0,13.0,22.0,0.09090909090909091,0.17410454243039383,0.5,0.05,0.08258954575696062,0.09090909090909091,3.770433230895541,4.760929958518586,5.7601075512894955,3.63879964733186,4.422196440635722,5.212459043518036
pump_grid,water_flow=3,100,1.0,5.5,10.0,1.0,5.5,10.0,3.0,3.0,3.0,5.0,14.0,23.0,0.13043478260869565,0.23737753367017064,0.6,0.04,0.07626224663298294,0.08695652173913043,3.7712075924406907,4.761014235854542,5.76011582314765,3.639412099987593,4.422263096681011,5.212465585838644
pump_grid,water_flow=4,100,1.0,5.5,10.0,1.0,5.5,10.0,4.0,4.0,4.0,6.0,15.0,24.0,0.16666666666666666,0.29075005254538167,0.6666666666666666,0.03333333333333333,0.07092499474546182,0.08333333333333333,3.771978151078923,4.761098334070638,5.760124094817531,3.640021544874597,4.422329611058067,5.212472128010344
pump_grid,water_flow=5,100,1.0,5.5,10.0,1.0,5.5,10.0,5.0,5.0,5.0,7.0,16.0,25.0,0.2,0.3365792419131698,0.7142857142857143,0.028571428571428574,0.06634207580868302,0.08,3.7727449469782384,4.761182250697401,5.760132366299145,3.640628013762267,4.422395981813747,5.212478670033141
pump_grid,water_flow=6,100,1.0,5.5,10.0,1.0,5.5,10.0,6.0,6.0,6.0,8.0,17.0,26.0,0.23076923076923078,0.3764727940812273,0.75,0.025,0.06235272059187727,0.07692307692307693,3.77350802082374,4.761265989150528,5.7601406375924995,3.641231538828982,4.422462211649571,5.21248521190704
pump_grid,water_flow=7,100,1.0,5.5,10.0,1.0,5.5,10.0,7.0,7.0,7.0,9.0,18.0,27.0,0.25925925925925924,0.41158287931937143,0.7777777777777778,0.022222222222222223,0.05884171206806286,0.07407407407407407,3.7742674144541555,4.761349551049257,5.760148908697599,3.641832153165539,4.422528301846218,5.2124917536320465
pump_grid,water_flow=8,100,1.0,5.5,10.0,1.0,5.5,10.0,8.0,8.0,8.0,10.0,19.0,28.0,0.2857142857142857,0.4427653955423238,0.8,0.02,0.05572346044576762,0.07142857142857142,3.775023165853185,4.761432937435468,5.76015717961445,3.642429886813741,4.422594253227723,5.2124982952081655
pump_grid,water_flow=9,100,1.0,5.5,10.0,1.0,5.5,10.0,9.0,9.0,9.0,11.0,20.0,29.0,0.3103448275862069,0.4706739163392296,0.8181818181818182,0.018181818181818184,0.05293260836607704,0.06896551724137931,3.775775314426723,4.761516150059907,5.760165450343065,3.643024770940226,4.422660067178773,5.212504836635405
pump_grid,water_flow=10,100,1.0,5.5,10.0,1.0,5.5,10.0,10.0,10.0,10.0,12.0,21.0,30.0,0.3333333333333333,0.49581862521482767,0.8333333333333334,0.016666666666666666,0.05041813747851723,0.06666666666666667,3.7765238984056784,4.761599190290011,5.76017372088345,3.643616835782317,4.422725744780895,5.2125113779137715
target_flow_sweep,all,123,1.0,5.024390243902439,10.0,1.0,5.024390243902439,10.0,1.0,5.333333333333333,10.0,10.999999999999998,15.382113821138212,21.0,0.08333333333333333,0.3072317249146517,0.5,0.04999999999999999,0.06927682750853485,0.09166666666666666,3.7696550220175356,4.76194641504792,5.76017372088345,3.6381841517703415,4.423000369375115,5.2125113779137715
target_flow_sweep,water_flow=1,41,1.0,5.024390243902439,10.0,1.0,5.024390243902439,10.0,1.0,1.0,1.0,10.999999999999998,11.048780487804878,12.0,0.08333333333333333,0.09053954175905396,0.09090909090909093,0.0909090909090909,0.09094604582409462,0.09166666666666666,3.7696550220175356,4.761411742079299,5.760099279243066,3.6381841517703415,4.422577489543814,5.21245250104852
target_flow_sweep,water_flow=5,41,1.0,5.024390243902439,10.0,1.0,5.024390243902439,10.0,5.0,5.0,5.0,14.999999999999998,15.048780487804878,16.0,0.3125,0.33231707317073167,0.33333333333333337,0.06666666666666665,0.06676829268292683,0.06875,3.7727449469782384,4.761907507616985,5.760132366299145,3.640628013762267,4.4229695969800344,5.212478670033141
target_flow_sweep,water_flow=10,41,1.0,5.024390243902439,10.0,1.0,5.024390243902439,10.0,10.0,10.0,10.0,20.0,20.048780487804876,21.0,0.47619047619047616,0.49883855981416947,0.5,0.04999999999999999,0.05011614401858304,0.052380952380952375,3.7765238984056784,4.762519995447473,5.76017372088345,3.643616835782317,4.423454021601501,5.2125113779137715
