sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,buffer_flow_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_equilibrium_affine,residual_equilibrium_affine
0,2026-05-11T19:46:07.807Z,2026-05-11 19:46:07.807000+00:00,0.0,0.0,,0,0,train,1,0,4.414143562316895,8.549332618713379,3.926202774047852,4.3504838943481445,16.826019287109375,0.2585569301992364,0.7414430698007636,True,True,False,0.4592408494499213,-0.3379594884200798,0.05081019148280146,0.0233341154972749,0.07414430698007636,0.0233341154972749,4.423065365111247,4.423065365111247,-0.00892180279435184,4.080023108221863,0.3341204540950322,4.15497492271976,0.2591686395971351
1,2026-05-11T19:48:30.329Z,2026-05-11 19:48:30.329000+00:00,2.3753666666666664,0.03958944444444444,142.522,0,0,train,1,1,4.619248390197754,7.116000175476074,6.097648143768311,7.160530090332031,20.374178409576416,0.35145123137659323,0.6485487686234068,True,True,False,0.8568926353856318,-0.06707358972274756,0.034926562595188435,0.02992831426715225,0.06485487686234068,0.02992831426715225,4.69347214830501,4.69347214830501,-0.07422375810725601,4.350429891415626,0.26881849878212805,4.368843177842583,0.25040521235517055
2,2026-05-11T19:50:50.952Z,2026-05-11 19:50:50.952000+00:00,4.719083333333333,0.07865138888888888,140.623,0,0,train,1,2,4.845854759216309,6.221703052520752,9.732967376708984,8.711876869,24.666547298229737,0.35318590655065984,0.64681409344934,True,True,False,1.5643574266640108,0.1943359882974261,0.02522324254504509,0.03945816679988893,0.06468140934493402,0.03945816679988893,4.954649299351862,4.954649299351862,-0.10879454013555367,4.611607042462478,0.23424771675383038,4.575411596402982,0.2704431628133266
3,2026-05-11T19:53:12.043Z,2026-05-11 19:53:12.043000+00:00,7.0706,0.11784333333333333,141.091,0,0,train,1,3,4.805054664611816,4.207277774810791,5.855237007141113,3.0271997451782227,13.089714527130127,0.23126552828206906,0.768734471717931,True,True,False,1.3916925196136911,0.1435432928996799,0.03214186043622773,0.04473158673556537,0.07687344717179309,0.04473158673556537,4.90383304682413,4.90383304682413,-0.09877838221231361,4.560790789934746,0.24426387467707045,4.535220358847379,0.26983430576443723
4,2026-05-11T19:55:33.210Z,2026-05-11 19:55:33.210000+00:00,9.423383333333334,0.1570563888888889,141.167,0,0,train,1,4,4.993066787719727,2.5869803428649902,6.577486038208008,4.8657331466674805,14.030199527740479,0.3468042729575559,0.6531957270424441,True,True,False,2.542534216136978,0.40526680614915495,0.018438656825585542,0.04688091587865887,0.0653195727042444,0.04688091587865887,5.165490970579203,5.165490970579203,-0.17242418285947636,4.822448713689819,0.1706180740299077,4.742169026819436,0.2508977609002905
5,2026-05-11T19:57:54.609Z,2026-05-11 19:57:54.609000+00:00,11.780033333333334,0.1963338888888889,141.399,0,0,train,1,5,4.670523643493652,7.768003463745117,7.414762974,7.852952003479004,23.03571844122412,0.3409032812897021,0.659096718710298,True,True,False,0.9545262188162295,-0.020212137955673292,0.03372155934083524,0.03218811253019457,0.0659096718710298,0.03218811253019457,4.740267423435141,4.740267423435141,-0.06974377994148906,4.397225166545757,0.273298476947895,4.405854171878566,0.26466947161508614
6,2026-05-11T20:00:15.871Z,2026-05-11 20:00:15.871000+00:00,14.1344,0.23557333333333333,141.262,0,0,train,1,6,4.743302345275879,8.820981979370117,9.993937492370604,3.0263543128967285,21.84127378463745,0.1385612552975451,0.861438744702455,True,True,False,1.1329733487432252,0.05421969394999294,0.04038675613129557,0.045757118338949916,0.08614387447024549,0.045757118338949916,4.8145299840991145,4.8145299840991145,-0.07122763882323557,4.47148772720973,0.2718146180661485,4.46458940064232,0.27871294463355856
7,2026-05-11T20:02:37.094Z,2026-05-11 20:02:37.094000+00:00,16.488116666666667,0.27480194444444445,141.223,0,0,train,1,7,4.902092933654785,3.8793654441833496,7.435241699,2.0945754051208496,13.409182548304198,0.15620455591349539,0.8437954440865046,True,True,False,1.9166128600099448,0.28253439783321266,0.028930663224313823,0.05544888118433665,0.08437954440865048,0.05544888118433665,5.042741416058761,5.042741416058761,-0.14064848240397598,4.699699159169377,0.20239377448540807,4.645084801592811,0.2570081320619746
8,2026-05-11T20:04:58.331Z,2026-05-11 20:04:58.331000+00:00,18.842066666666664,0.3140344444444444,141.237,0,0,train,1,8,4.618697166442871,5.235406398773193,4.867502212524414,5.546240329742432,15.649148941040039,0.3544116265132709,0.645588373486729,True,True,False,0.9297276737991171,-0.031644241860911845,0.03345489533327459,0.031103942015398324,0.0645588373486729,0.031103942015398324,4.728858781063189,4.728858781063189,-0.11016161462031793,4.385816524173805,0.23288064226906613,4.396830927681096,0.22186623876177514
9,2026-05-11T20:07:19.569Z,2026-05-11 20:07:19.569000+00:00,21.196033333333332,0.35326722222222223,141.238,0,0,train,1,9,5.189899444580078,1.6605889797210691,8.562686920166016,9.065704345703123,19.28898024559021,0.4699939670359556,0.5300060329640444,True,True,False,5.1564155999664045,0.7123479136267027,0.008609003475446601,0.04439159982095783,0.053000603296404436,0.04439159982095783,5.472550660107976,5.472550660107976,-0.2826512155278982,5.129508403218592,0.060391041361485875,4.985026544084518,0.20487290049555984
