sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,valid_for_model,uninformative_flat_ph_trial,total_buffer_mol_l,ph_equilibrium_charge_balance,cumulative_transport_volume_ml,transport_delayed_volume_coordinate_ml,theta_transport_s,ph_equilibrium_transport_delayed,prediction_equilibrium_baseline,residual_equilibrium_baseline,prediction_static_calibrated,residual_static_calibrated,prediction_transport_delay_calibrated,residual_transport_delay_calibrated,prediction_transport_delay_dynamic,residual_transport_delay_dynamic
0,2026-05-11T19:46:07.807Z,2026-05-11 19:46:07.807000+00:00,0.0,0.0,,0,0,train,1,0,4.414143562316895,8.549332618713379,3.926202774047852,4.3504838943481445,16.826019287109375,True,False,0.07414430698007636,4.423065365111247,0.0,-1.0122954843494305,3.6097503529844266,,4.423065365111247,-0.00892180279435184,4.3768816506868635,0.037261911630031896,,,,
1,2026-05-11T19:48:30.329Z,2026-05-11 19:48:30.329000+00:00,2.3753666666666664,0.03958944444444444,142.522,0,0,train,1,1,4.619248390197754,7.116000175476074,6.097648143768311,7.160530090332031,20.374178409576416,True,False,0.06485487686234068,4.69347214830501,39.96796534729004,38.95566986294061,2.9811130461298725,4.68662337421341,4.69347214830501,-0.07422375810725601,4.583170542505376,0.03607784769237821,4.574689562354766,0.04455882784298826,4.574689562354766,0.04455882784298826
2,2026-05-11T19:50:50.952Z,2026-05-11 19:50:50.952000+00:00,4.719083333333333,0.07865138888888888,140.623,0,0,train,1,2,4.845854759216309,6.221703052520752,9.732967376708984,8.711876869,24.666547298229737,True,False,0.06468140934493402,4.954649299351862,87.71926685545444,86.706971371105,2.4623522833017186,4.949112519363263,4.954649299351862,-0.10879454013555367,4.782418299611988,0.0634364596043202,4.779250857789999,0.06660390142630934,4.7792508577899975,0.06660390142631112
3,2026-05-11T19:53:12.043Z,2026-05-11 19:53:12.043000+00:00,7.0706,0.11784333333333333,141.091,0,0,train,1,3,4.805054664611816,4.207277774810791,5.855237007141113,3.0271997451782227,13.089714527130127,True,False,0.07687344717179309,4.90383304682413,145.7230639363633,144.71076845201387,4.640111053230307,4.904719903643066,4.90383304682413,-0.09877838221231361,4.743651415525342,0.06140324908647443,4.7446550996518955,0.06039956495992094,4.744655099651896,0.06039956495992005
4,2026-05-11T19:55:33.210Z,2026-05-11 19:55:33.210000+00:00,9.423383333333334,0.1570563888888889,141.167,0,0,train,1,4,4.993066787719727,2.5869803428649902,6.577486038208008,4.8657331466674805,14.030199527740479,True,False,0.0653195727042444,5.165490970579203,176.52032611388628,175.50803062953685,4.32907094021545,5.156890364033897,5.165490970579203,-0.17242418285947636,4.943265946231433,0.04980084148829356,4.9411749062846555,0.05189188143507106,4.941174906284654,0.05189188143507284
5,2026-05-11T19:57:54.609Z,2026-05-11 19:57:54.609000+00:00,11.780033333333334,0.1963338888888889,141.399,0,0,train,1,5,4.670523643493652,7.768003463745117,7.414762974,7.852952003479004,23.03571844122412,True,False,0.0659096718710298,4.740267423435141,209.58459583093588,208.57230034658645,2.636676134757368,4.753286065017025,4.740267423435141,-0.06974377994148906,4.618869889004461,0.05165375448919107,4.626640687343957,0.043882956149695396,4.62664068734396,0.04388295614969273
6,2026-05-11T20:00:15.871Z,2026-05-11 20:00:15.871000+00:00,14.1344,0.23557333333333333,141.262,0,0,train,1,6,4.743302345275879,8.820981979370117,9.993937492370604,3.0263543128967285,21.84127378463745,True,False,0.08614387447024549,4.8145299840991145,263.8191234716726,262.8068279873232,2.780869360453101,4.813143862414524,4.8145299840991145,-0.07122763882323557,4.675523576319689,0.06777876895618995,4.673288668046328,0.07001367722955099,4.673288668046328,0.07001367722955099
7,2026-05-11T20:02:37.094Z,2026-05-11 20:02:37.094000+00:00,16.488116666666667,0.27480194444444445,141.223,0,0,train,1,7,4.902092933654785,3.8793654441833496,7.435241699,2.0945754051208496,13.409182548304198,True,False,0.08437954440865048,5.042741416058761,315.2272935998035,314.2149981154541,4.529562398167744,5.038247628369492,5.042741416058761,-0.14064848240397598,4.849622327997592,0.0524706056571933,4.848715038324648,0.05337789533013737,4.848715038324646,0.05337789533013915
8,2026-05-11T20:04:58.331Z,2026-05-11 20:04:58.331000+00:00,18.842066666666664,0.3140344444444444,141.237,0,0,train,1,8,4.618697166442871,5.235406398773193,4.867502212524414,5.546240329742432,15.649148941040039,True,False,0.0645588373486729,4.728858781063189,346.79183885938414,345.77954337503473,3.881216115317337,4.73892520120036,4.728858781063189,-0.11016161462031793,4.610166423195405,0.008530743247465722,4.615449074432768,0.0032480920101027877,4.615449074432771,0.003248092010100123
9,2026-05-11T20:07:19.569Z,2026-05-11 20:07:19.569000+00:00,21.196033333333332,0.35326722222222223,141.238,0,0,train,1,9,5.189899444580078,1.6605889797210691,8.562686920166016,9.065704345703123,19.28898024559021,True,False,0.053000603296404436,5.472550660107976,383.62941382829433,382.6171183439449,3.1488304870264727,5.452114028990436,5.472550660107976,-0.2826512155278982,5.177516738045475,0.012382706534602939,5.171246650059698,0.01865279452038049,5.171246650059692,0.018652794520385818
10,2026-05-11T20:09:40.352Z,2026-05-11 20:09:40.352000+00:00,23.542416666666668,0.39237361111111113,140.783,0,0,train,1,10,4.953369141,2.5687642097473145,5.994353771209717,1.7615255117416382,10.32464349269867,True,False,0.08293863112089686,5.128203715134962,428.8887555935431,427.8764601091937,5.882791895324816,5.135905569467129,5.128203715134962,-0.1748345741349624,4.914820111723523,0.038549029276476965,4.924821175700598,0.028547965299401845,4.9248211757006,0.02854796529939918
11,2026-05-11T20:12:01.263Z,2026-05-11 20:12:01.263000+00:00,25.890933333333333,0.43151555555555554,140.911,0,0,train,1,11,4.251494407653809,6.424426078796387,2.2115581035614014,7.750305652618408,16.386289834976196,True,False,0.05270249867010444,4.299034116326978,453.1363529135375,452.1240574291881,3.7066187448559837,4.333650520977553,4.299034116326978,-0.04753970867316948,4.28226024895879,-0.030765841304981834,4.299613105116214,-0.04811869746240571,4.2996131051162205,-0.04811869746241193
12,2026-05-11T20:14:21.480Z,2026-05-11 20:14:21.480000+00:00,28.227883333333335,0.47046472222222224,140.217,0,0,train,1,12,4.067340850830078,6.418696880340576,1.307341456413269,7.155996799468994,14.88203513622284,True,False,0.051915200213099116,4.0739421926136306,491.43029294338515,490.41799745903575,4.081278434367511,4.079892469283019,4.0739421926136306,-0.006601341783552428,4.110541318865049,-0.04320046803497046,4.1018560673837765,-0.03451521655369838,4.101856067383779,-0.034515216553701045
13,2026-05-11T20:16:42.488Z,2026-05-11 20:16:42.488000+00:00,30.578016666666667,0.5096336111111112,141.008,0,0,train,1,13,5.113813400268555,2.360363245010376,9.187598228,8.145929336547852,19.693890809558226,True,False,0.05863727784763432,5.350426320313486,526.4050597848603,525.3927643005109,3.0840898656494735,5.3134802807824375,5.350426320313486,-0.23661292004493095,5.0843500858530986,0.029463314415456132,5.0632075191147585,0.05060588115379616,5.06320751911475,0.050605881153805043
