trial_id,split,n_total,n_model_valid,start_time,end_time,duration_min
0,train,20,20,2026-05-11 19:46:07.807000+00:00,2026-05-11 20:30:46.486000+00:00,44.64465
1,train,30,30,2026-05-12 13:21:36.495000+00:00,2026-05-12 14:29:57.389000+00:00,68.34823333333334
2,train,30,30,2026-05-12 14:32:18.768000+00:00,2026-05-12 15:40:53.322000+00:00,68.5759
3,train,30,30,2026-05-12 15:43:15.106000+00:00,2026-05-12 16:52:04.560000+00:00,68.82423333333332
4,train,5,5,2026-05-12 16:54:25.586000+00:00,2026-05-12 17:03:56.434000+00:00,9.514133333333332
5,train,30,30,2026-05-12 17:46:23.537000+00:00,2026-05-12 18:55:12.452000+00:00,68.81525
6,train,30,30,2026-05-12 18:57:34.436000+00:00,2026-05-12 20:06:15.936000+00:00,68.69166666666666
7,train,30,30,2026-05-12 20:08:37.316000+00:00,2026-05-12 21:17:10.855000+00:00,68.55898333333333
8,train,30,0,2026-05-12 21:19:32.410000+00:00,2026-05-12 22:28:04.624000+00:00,68.5369
9,train,30,0,2026-05-12 22:30:26.019000+00:00,2026-05-12 23:38:46.676000+00:00,68.34428333333334
10,train,26,0,2026-05-12 23:41:07.484000+00:00,2026-05-13 00:39:39.516000+00:00,58.53386666666667
11,test,30,30,2026-05-13 13:32:54.593000+00:00,2026-05-13 14:40:46.005000+00:00,67.85686666666666
12,test,30,30,2026-05-13 14:43:06.264000+00:00,2026-05-13 15:50:53.958000+00:00,67.7949
13,test,30,30,2026-05-13 15:53:14.452000+00:00,2026-05-13 17:01:06.547000+00:00,67.86825
14,test,30,30,2026-05-13 17:03:27.121000+00:00,2026-05-13 18:11:13.919000+00:00,67.77996666666667
15,test,6,6,2026-05-13 18:13:33.788000+00:00,2026-05-13 18:25:13.297000+00:00,11.658483333333333
