trial_id,session_id,split,n_total,n_model_valid,start_time,end_time,max_cumulative_volume_ml,median_theta_transport_s,static_rmse,transport_delay_rmse,transport_dynamic_rmse
0,0,train,20,20,2026-05-11 19:46:07.807000+00:00,2026-05-11 20:30:46.486000+00:00,763.7959314583574,3.7818515264501418,0.045110423807093555,0.04905392273410236,0.04905392273410427
1,1,train,30,30,2026-05-12 13:21:36.495000+00:00,2026-05-12 14:29:57.389000+00:00,1102.365172655835,3.8510157728110395,0.06602247213401916,0.05245287364707918,0.05245287364707951
2,1,train,30,30,2026-05-12 14:32:18.768000+00:00,2026-05-12 15:40:53.322000+00:00,1135.7595326227904,3.497009577233869,0.044539561602484824,0.04503619743083374,0.04503619743083457
3,1,train,30,30,2026-05-12 15:43:15.106000+00:00,2026-05-12 16:52:04.560000+00:00,1117.8582060636422,3.5112637908726256,0.047004373852384505,0.04582004044269835,0.0458200404427
4,1,train,5,5,2026-05-12 16:54:25.586000+00:00,2026-05-12 17:03:56.434000+00:00,135.7013717125356,5.176375201598791,0.057813978136573935,0.06824042625114166,0.06824042625114264
5,2,train,30,30,2026-05-12 17:46:23.537000+00:00,2026-05-12 18:55:12.452000+00:00,1110.443412012135,3.8177937693467743,0.06675766532846328,0.06358337646063814,0.06358337646063932
6,2,train,30,30,2026-05-12 18:57:34.436000+00:00,2026-05-12 20:06:15.936000+00:00,1132.776921259435,3.4826298961485302,0.06868474357434651,0.06950598526828194,0.06950598526828243
7,2,train,30,30,2026-05-12 20:08:37.316000+00:00,2026-05-12 21:17:10.855000+00:00,1106.5387699293685,3.7308855408782566,0.20559327546576242,0.20673408229468382,0.20673408229468238
8,2,train,30,0,2026-05-12 21:19:32.410000+00:00,2026-05-12 22:28:04.624000+00:00,1128.49728975676,,,,
9,2,train,30,0,2026-05-12 22:30:26.019000+00:00,2026-05-12 23:38:46.676000+00:00,1099.7935848920888,,,,
10,2,train,26,0,2026-05-12 23:41:07.484000+00:00,2026-05-13 00:39:39.516000+00:00,900.1156487844122,,,,
11,3,test,30,30,2026-05-13 13:32:54.593000+00:00,2026-05-13 14:40:46.005000+00:00,1147.0635354845276,3.6549156098370736,0.287318665104808,0.2839382097528264,0.28393820975282646
12,3,test,30,30,2026-05-13 14:43:06.264000+00:00,2026-05-13 15:50:53.958000+00:00,1197.5206231510606,3.339942590055177,0.30577382107498724,0.3061089571164991,0.30610895711649977
13,3,test,30,30,2026-05-13 15:53:14.452000+00:00,2026-05-13 17:01:06.547000+00:00,1208.3887765373756,3.666500069173158,0.2788627682472265,0.27983170240544036,0.2798317024054406
14,3,test,30,30,2026-05-13 17:03:27.121000+00:00,2026-05-13 18:11:13.919000+00:00,1065.331335690968,4.062620768223493,0.2901670873258055,0.2895799631437927,0.2895799631437928
15,3,test,6,6,2026-05-13 18:13:33.788000+00:00,2026-05-13 18:25:13.297000+00:00,187.56115418338766,3.9289861879473023,0.30529737516041755,0.29951420364951126,0.29951420364950954
