candidate_type,v_tube_ml,split,n,intercept,slope,mean_error,mae,rmse,max_abs,correlation
grid,0.0,test,209,0.39517533019185536,0.8278325074237222,0.0019200412957465218,0.0412132030962795,0.05129247793922194,0.17196700914267815,0.9849569874839198
grid,0.0,train,450,0.39517533019185536,0.8278325074237222,6.227117587008656e-16,0.043557864268255995,0.057725892457621164,0.41543134590412656,0.9813270403536601
grid,0.5,test,188,0.2629524329467001,0.85537493852628,-0.00017092204721115822,0.03990613500937895,0.05138710304407629,0.1863393503254196,0.9841992784429103
grid,0.5,train,403,0.2629524329467001,0.85537493852628,4.925753766823275e-16,0.04333467550166171,0.056799617602411125,0.42145710551041127,0.9818758363267572
grid,1.0,test,188,0.138567849331028,0.8812984772001163,-0.0011196277991662013,0.04105946256057381,0.05351462882646966,0.2008211746679418,0.9828694216930577
grid,1.0,train,403,0.138567849331028,0.8812984772001163,-2.033113131943835e-15,0.043956353094358296,0.05792787263186513,0.4281320466051515,0.9811416704537723
grid,1.5,test,188,0.019087349224292366,0.9061994226694466,-0.002052025278599395,0.0440505001710264,0.057679426533109514,0.2154644155199632,0.9800985513151056
grid,1.5,train,403,0.019087349224292366,0.9061994226694466,1.8590037146825203e-15,0.04619166235525438,0.06118994412962845,0.43531701830247105,0.9789344747012733
grid,2.0,test,188,-0.09263539447209236,0.9294829354235414,-0.0029501831903768452,0.048639383052928344,0.0637773510580837,0.23006993781934604,0.9756434778496728
grid,2.0,train,403,-0.09263539447209236,0.9294829354235414,2.596213842200366e-15,0.05022565106313787,0.06661053750427318,0.44299941160665934,0.9749870323014868
grid,2.5,test,188,-0.19324201183447168,0.950448985129319,-0.0037925143876622884,0.05453225064433279,0.07158338138014993,0.24580089372992742,0.969241931216212
grid,2.5,train,403,-0.19324201183447168,0.950448985129319,-8.220609194743094e-16,0.05563528174620642,0.07403280154446606,0.45114662827251895,0.9690083712988476
grid,3.0,test,188,-0.2788959611075343,0.9682978830151984,-0.004553806960148909,0.061509829528572854,0.08083514221668206,0.27160683052265977,0.9606181553790458
grid,3.0,train,403,-0.2788959611075343,0.9682978830151984,-6.126888354258928e-16,0.062259568912836204,0.08320229259085093,0.4597012286320732,0.9606897965072942
grid,3.5,test,188,-0.34536429360445603,0.9821473287552898,-0.005205604509995648,0.0690629502144508,0.09128058841848757,0.29611402505880946,0.9494914716674359
grid,3.5,train,403,-0.34536429360445603,0.9821473287552898,1.708035422500241e-16,0.06976802232933761,0.09383931239599767,0.520486185687572,0.9497145673003144
grid,4.0,test,188,-0.39789165175904506,0.9927867013576652,-0.004310414917655397,0.07726045307727247,0.10264441656649262,0.3419156029201633,0.9355881532595219
grid,4.0,train,402,-0.39789165175904506,0.9927867013576652,-3.0014686148323884e-15,0.07713688160326004,0.10167725845299208,0.4762127348393346,0.9404284771818637
grid,4.5,test,188,-0.4207304331156744,0.9975070963803341,-0.0045359642287600786,0.08580611826654279,0.11482940229768558,0.39087040654996175,0.9186566175096395
grid,4.5,train,402,-0.4207304331156744,0.9975070963803341,-7.180546925436336e-16,0.08657568476439755,0.11404449575832933,0.4852203269047841,0.9244325710918846
grid,5.0,test,188,-0.413172273432184,0.9958917369425013,-0.004573567832908456,0.09462492054723332,0.12757944823876652,0.44049114514401255,0.8984854245826086
grid,5.0,train,402,-0.413172273432184,0.9958917369425013,-8.738173258492526e-16,0.0966515782187336,0.12715720180392648,0.4941331478113744,0.9051030766298914
grid,5.5,test,188,-0.3716297595275943,0.9871932975382253,-0.004397223023419027,0.10407627241075332,0.14070070171392524,0.4898172958402349,0.8749229019479593
grid,5.5,train,402,-0.3716297595275943,0.9871932975382253,-2.402721471203697e-15,0.10721830920261351,0.14078682028199815,0.5027505618344987,0.8822573849699821
grid,6.0,test,188,-0.29382810124382597,0.9709293077405834,-0.00394627598347244,0.11366437919122956,0.1539995776174268,0.5377155512803538,0.8478964977013973
grid,6.0,train,402,-0.29382810124382597,0.9709293077405834,-1.547684037313278e-15,0.11805220389003973,0.15465309226701351,0.5108150194371763,0.8559045506354941
grid,6.5,test,188,-0.1790345182921884,0.9469480739649304,-0.0033200293131426615,0.1236964678390298,0.16705457717917233,0.5830406063512146,0.8179774057183912
grid,6.5,train,402,-0.1790345182921884,0.9469480739649304,-1.805079027101996e-15,0.12872338027224334,0.16851124978868054,0.557103230541637,0.826134362749108
grid,7.0,test,188,-0.027303369671592012,0.9152654932936662,-0.0024769028296009335,0.13445868412336617,0.17978141921847193,0.624662078775827,0.7852117762135491
grid,7.0,train,402,-0.027303369671592012,0.9152654932936662,2.010553139122174e-16,0.13923971602705973,0.18218341779752786,0.6156903709523727,0.793023846750245
grid,7.5,test,188,0.15709216687512664,0.8767712779785881,-0.0013711057647451006,0.14536750628167733,0.1921901995427914,0.6616173004035626,0.7494291826952545
grid,7.5,train,402,0.15709216687512664,0.8767712779785881,-2.224864847358274e-15,0.14980280155796113,0.19539408887678353,0.6715226377516075,0.7570431804104071
grid,8.0,test,188,0.3669241362930742,0.8329657680000628,-1.3343026578275218e-05,0.15588962364558523,0.20412313939216103,0.6932599503073651,0.7109470572424006
grid,8.0,train,402,0.3669241362930742,0.8329657680000628,4.462986089040431e-16,0.16031272994373916,0.20786877425741618,0.7233241162347142,0.7189342463684104
grid,8.5,test,188,0.6029877912935038,0.7837105755014805,0.0014767650455431878,0.16624765243172157,0.21542722095989836,0.7188823748850255,0.6701713657491655
grid,8.5,train,402,0.6029877912935038,0.7837105755014805,-1.2328446721210694e-15,0.17066155352842738,0.21968646491889057,0.7703313443887163,0.6785064423013366
grid,9.0,test,188,0.8526019924693491,0.7316653359800303,0.0029477344007708063,0.1760552639264339,0.22599347627633362,0.7387275278094534,0.6275765922055101
grid,9.0,train,402,0.8526019924693491,0.7316653359800303,-1.9387476698678108e-15,0.18024704023415725,0.2304117371095002,0.8118309836174946,0.6374908203893096
grid,9.5,test,188,1.0681021689278982,0.6870592206925067,0.002486778183716938,0.18480115691621385,0.2357589271507323,0.7580675733907287,0.5837751422355458
grid,9.5,train,401,1.0681021689278982,0.6870592206925067,1.9878806276330735e-15,0.1875826720950551,0.2384721721863016,0.8498277822049278,0.6032079542945858
grid,10.0,test,188,1.314220828224869,0.6358347189650561,0.003332450536305062,0.19322092230346893,0.2444299096572572,0.7687245604123425,0.540111258245633
grid,10.0,train,400,1.314220828224869,0.6358347189650561,-1.3555823130673162e-15,0.1955500969627599,0.24753288107107416,0.8806134928251304,0.561494817069008
grid,10.5,test,188,1.5711417681899875,0.5822743532490864,0.00488932329491777,0.2007317608712614,0.2519975661383715,0.7726562480408856,0.49733898847666674
grid,10.5,train,400,1.5711417681899875,0.5822743532490864,8.737455203799982e-16,0.202594498315949,0.2554223604534298,0.9047285688124393,0.5205124546939713
grid,11.0,test,188,1.8206171676310445,0.530316156780213,0.006437313435053205,0.20689911660883384,0.25820390698989637,0.7451515198394794,0.45800901909946595
grid,11.0,train,399,1.8206171676310445,0.530316156780213,7.24566605544839e-16,0.20927061621506518,0.2626293849999945,0.9234983713106661,0.48065812361173277
grid,11.5,test,188,2.0627031914797533,0.47984264622944406,0.00799941079260945,0.2120301381317085,0.2633817909669006,0.7377493971876117,0.4214686284977995
grid,11.5,train,399,2.0627031914797533,0.47984264622944406,-3.5504876677235583e-16,0.2147178494743384,0.26871957900273885,0.9366470427498035,0.44153715735587185
grid,12.0,test,188,2.295180488889241,0.4313648250524774,0.009587536173916705,0.21650492442478678,0.267872593474363,0.7437211291915489,0.3864518614070977
grid,12.0,train,399,2.295180488889241,0.4313648250524774,-1.4814103717053468e-15,0.21934174364371398,0.27400449760896206,0.9448541131434283,0.4037053066513544
grid,12.5,test,188,2.520880986470755,0.3843527502348636,0.01106248462495643,0.22068054587017255,0.27176875553770347,0.7463077269962426,0.3527619989842757
grid,12.5,train,398,2.520880986470755,0.3843527502348636,1.4550058533780946e-15,0.22361992701094346,0.2789311784080241,0.948511764247276,0.3662104778831893
grid,13.0,test,187,2.6907742141555326,0.3487380831800833,0.011565548723433513,0.22330003077608637,0.2746994664545458,0.7481148737997518,0.3290125585266462
grid,13.0,train,396,2.6907742141555326,0.3487380831800833,2.8260222445003984e-16,0.2265927018041706,0.28249276264413203,0.9514275823643388,0.33731208900559234
grid,13.5,test,187,2.875431543994475,0.310268343372199,0.013061208259976082,0.22630417692470597,0.27777414269968376,0.7467337416046682,0.29752279453404135
grid,13.5,train,396,2.875431543994475,0.310268343372199,3.6334571715005125e-16,0.22915680042380096,0.2857741210498693,0.9498234348391215,0.30507651908995165
grid,14.0,test,187,3.0350887693615394,0.2770887657607853,0.014078568809755308,0.2286956859811071,0.2803107549729557,0.7414282973614608,0.26847431655799964
grid,14.0,train,393,3.0350887693615394,0.2770887657607853,1.4237974666948571e-16,0.23151910783851912,0.2891420705463901,0.947500696358321,0.2753969164295959
grid,14.5,test,186,3.1821328343792836,0.24646205246189773,0.01921001979405246,0.22810774832853367,0.2788059388673683,0.7252670844754725,0.2600486461259683
grid,14.5,train,392,3.1821328343792836,0.24646205246189773,-1.2688263138573217e-16,0.23350073105969452,0.29172983823749227,0.9427822217028519,0.24813740647644308
grid,15.0,test,186,3.317470836203938,0.2182668767449734,0.020523672988690757,0.2295916224337407,0.2806463961949254,0.7107041997179131,0.23641165898886904
grid,15.0,train,392,3.317470836203938,0.2182668767449734,-2.313342261514867e-15,0.23465105252986265,0.2935994971399235,0.9363359973993832,0.22249742035410963
grid,15.5,test,186,3.4412519310389245,0.1924651557191717,0.021699383383229662,0.23103812942155744,0.2822546145125641,0.6976210698396912,0.21359270930756918
grid,15.5,train,392,3.4412519310389245,0.1924651557191717,-1.0399844251080548e-15,0.23560205842664575,0.2951590169456351,0.9285089826861643,0.19844583459224652
grid,16.0,test,185,3.5550179878928185,0.16874880793235644,0.022215681967397052,0.2326792049228423,0.28414612671966494,0.6858851468092544,0.1862232511754229
grid,16.0,train,392,3.5550179878928185,0.16874880793235644,4.735441064217505e-16,0.23654527413536308,0.29646127854492965,0.9195114790113115,0.1757424677316176
grid,16.5,test,185,3.670364541629125,0.1451024646609898,0.02128949944334656,0.23326215972169187,0.2850688590711387,0.6765412415373682,0.1673601267480097
grid,16.5,train,386,3.670364541629125,0.1451024646609898,5.039146992599156e-16,0.2377820851747418,0.29723556171954585,0.9098256247223331,0.15107665152473018
grid,17.0,test,185,3.756425871324093,0.12728918535720007,0.021458909172129913,0.23382266642506308,0.2859461897333469,0.6686690941737137,0.14850263828801086
grid,17.0,train,384,3.756425871324093,0.12728918535720007,-2.389292467578722e-15,0.2389865675947004,0.29867046897389543,0.892983763788437,0.13236591215714108
grid,17.5,test,185,3.802476021030572,0.11791317696584307,0.020891910332362554,0.2342269880465158,0.2865872461372851,0.6648858870355312,0.13108672234650734
grid,17.5,train,380,3.802476021030572,0.11791317696584307,-2.5593562357148347e-15,0.23885943041451171,0.2987058251547744,0.8819510419367127,0.12250364419260541
grid,18.0,test,185,3.871480427955331,0.10353610553290285,0.021354341227544798,0.2344527325251844,0.2871818252482082,0.6618969608791843,0.11537539522604648
grid,18.0,train,380,3.871480427955331,0.10353610553290285,-3.279248217998094e-15,0.23924723944676526,0.29923265060532594,0.8664248176426543,0.10737610712499181
grid,18.5,test,184,3.9114370845101316,0.09528135213457001,0.02060547625828208,0.23509246497780242,0.2881502369637534,0.6656393687007056,0.09951592891734728
grid,18.5,train,375,3.9114370845101316,0.09528135213457001,8.005448156230462e-16,0.2394594808847386,0.29950275991624875,0.856944582748425,0.09849736365240334
grid,19.0,test,183,3.974175571089279,0.08220526649867389,0.021711980656124383,0.23578335166768727,0.28908750589835996,0.6698836607477721,0.09282357951843002
grid,19.0,train,375,3.974175571089279,0.08220526649867389,1.8237263551175905e-16,0.2397037348187159,0.299886055393495,0.8440491149234681,0.08464865737543874
grid,19.5,test,183,4.036534389079667,0.06920406985222262,0.021898580819451167,0.23591665470832612,0.28934761733135733,0.6737311093265927,0.0838056969040767
grid,19.5,train,375,4.036534389079667,0.06920406985222262,1.8924121529077333e-15,0.2399166019375942,0.3002069244249855,0.8320427973484064,0.07099050935181969
grid,20.0,test,181,4.088559090461194,0.05831265115479857,0.022784585014993603,0.23786684515367654,0.2910685955352211,0.6765938499045556,0.08081205150159071
grid,20.0,train,374,4.088559090461194,0.05831265115479857,1.854725523491438e-15,0.24056719252245037,0.30083609134420713,0.8221154060636637,0.05905474806568339
grid,20.5,test,181,4.142790885021266,0.04701137964747491,0.022823393330362356,0.23805155085836202,0.2912750817698964,0.6794716328480352,0.07291589811456183
grid,20.5,train,374,4.142790885021266,0.04701137964747491,8.311830130883525e-17,0.24073653802258368,0.3010259848647086,0.8128754046723694,0.047212609594230515
grid,21.0,test,180,4.193899818039323,0.036327582492321674,0.022926781785726488,0.23934735362663118,0.29225559048740035,0.6817731018664301,0.06622271299637977
grid,21.0,train,373,4.193899818039323,0.036327582492321674,-2.583575295910552e-15,0.24141414922937682,0.30155467943376135,0.8045957807086177,0.03608816534466836
grid,21.5,test,177,4.215680132995357,0.031520178690380485,0.025487058897366032,0.23797486049289146,0.29160074181366286,0.6817344444788467,0.07798214995466482
grid,21.5,train,371,4.215680132995357,0.031520178690380485,-3.6867783459250483e-16,0.24162003381093752,0.3019136797999016,0.8007947916448495,0.030878623208005777
grid,22.0,test,176,4.25803373434451,0.022713496505327366,0.023519406133782304,0.23736509445195295,0.2912973764141965,0.6835132169595304,0.07244255521315306
grid,22.0,train,369,4.25803373434451,0.022713496505327366,-1.1336911536009728e-15,0.2426906438408438,0.3027731049818751,0.799966287042102,0.021918890620073708
grid,22.5,test,175,4.3018124585995405,0.013901367503158596,0.02305075795398048,0.23781360293302267,0.2919418934206218,0.6864487156353252,0.06825530417486567
grid,22.5,train,367,4.3018124585995405,0.013901367503158596,6.05026171457851e-17,0.24241638438602894,0.3026450444300759,0.800051679512007,0.01327270046131501
grid,23.0,test,174,4.38503229582724,-0.00381207272507654,0.02523676491481193,0.23933929179100896,0.29323215601419667,0.6868974417574072,-0.06663655673733339
grid,23.0,train,365,4.38503229582724,-0.00381207272507654,-2.4333655334250007e-18,0.2423810137878442,0.3024781862168193,0.7940837645727954,0.003570116690490073
grid,23.5,test,173,4.425318076973482,-0.012224963107284012,0.02674086191943748,0.23960380091276942,0.29381762656174104,0.6877325832179575,-0.06451781387744343
grid,23.5,train,365,4.425318076973482,-0.012224963107284012,3.090374227449751e-15,0.24240324781949943,0.3024608310182838,0.7919645663999586,0.01129134039289813
grid,24.0,test,171,4.420784647226325,-0.011689617202770335,0.027466824384698205,0.238414338783052,0.29281178432556487,0.6856440722727828,-0.035192292099885336
grid,24.0,train,363,4.420784647226325,-0.011689617202770335,-4.061642360061179e-16,0.24187077485126907,0.30210364003375917,0.7902819878367446,0.010667278791297998
grid,24.5,test,170,4.449837915691123,-0.017754274807950905,0.027196615779701068,0.239359270580754,0.29368370627233564,0.6861426531396106,-0.03916850355509565
grid,24.5,train,363,4.449837915691123,-0.017754274807950905,-1.6809327116638733e-15,0.24186426642231743,0.30208208868609926,0.7890411749662838,0.016013891056745395
grid,25.0,test,170,4.488233768078107,-0.025575531636982927,0.02636474348094384,0.2393492037197815,0.29372616098927234,0.6876554645543647,-0.04088668524287007
grid,25.0,train,361,4.488233768078107,-0.025575531636982927,1.5008000997702947e-16,0.24218889957076914,0.30263222363140135,0.788502932082435,0.022838646870900377
grid,25.5,test,168,4.519192800171832,-0.03203555300079038,0.023665477460674062,0.23918114331117535,0.29376270011669486,0.6880553600702934,-0.05573193376192317
grid,25.5,train,361,4.519192800171832,-0.03203555300079038,-8.488131711815601e-16,0.24213158970976117,0.302589495246878,0.7875266317232881,0.0283516289623055
grid,26.0,test,168,4.548985963182373,-0.03825131999080285,0.02375170035784137,0.2392698331727233,0.29393236486980906,0.6883699608984934,-0.06002648695982514
