group,description,n_intervals,median_dt_s,mean_dt_s,std_dt_s,min_dt_s,p05_dt_s,p95_dt_s,max_dt_s,intervals_45_to_90_s,fraction_45_to_90_s,intervals_gt_15_min
overall,all valid dt_s,1085,69.984,316.1572294930876,3557.3075431226553,68.714,69.0622,142.4872,79249.667,664,0.6119815668202765,6
early_ideal_like,indices 0-204,204,141.907,450.30905882352937,4238.930922207708,138.312,140.79444999999998,143.06494999999998,60650.009,0,0.0,2
flat_excluded,indices 205-290,86,141.3915,141.2635,0.7732791711087189,140.001,140.14175,142.4665,143.142,0,0.0,0
later_calibrated,indices 291-end,795,69.424,300.65268553459117,3560.0823474591703,68.714,69.0297,140.40619999999998,79249.667,664,0.8352201257861636,4
session_0,session_id 0,19,140.911,140.9831052631579,0.4896760714704751,140.217,140.4609,141.5113,142.522,0,0.0,0
session_1,session_id 1,95,141.888,778.8415578947368,6207.999587582182,138.312,140.9877,143.2038,60650.009,0,0.0,1
session_2,session_id 2,176,141.7945,155.35842045454544,181.31649930541562,140.001,140.26525,142.82125,2547.103,0,0.0,1
session_3,session_id 3,126,140.313,507.41096031746025,4120.702204316049,139.634,139.89875,140.637,46395.077,0,0.0,1
session_4,session_id 4,161,70.068,562.5199440993789,6240.18035901171,69.151,69.713,70.355,79249.667,159,0.9875776397515528,1
session_5,session_id 5,249,69.193,106.19595582329318,570.2200351794406,68.714,68.9644,69.4728,9065.511,247,0.9919678714859438,1
session_6,session_id 6,259,69.345,224.23397683397687,2492.1676729643796,68.835,69.09649999999999,69.7432,40177.021,258,0.9961389961389961,1
