sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,valid_for_model,uninformative_flat_ph_trial,total_buffer_mol_l,ph_equilibrium_charge_balance,cumulative_transport_volume_ml,transport_delayed_volume_coordinate_ml,theta_transport_s,ph_equilibrium_transport_delayed,prediction_equilibrium_baseline,residual_equilibrium_baseline,prediction_static_calibrated,residual_static_calibrated,prediction_transport_delay_calibrated,residual_transport_delay_calibrated,prediction_transport_delay_dynamic,residual_transport_delay_dynamic
0,2026-05-11T19:46:07.807Z,2026-05-11 19:46:07.807000+00:00,0.0,0.0,,0,0,train,1,0,4.414143562316895,8.549332618713379,3.926202774047852,4.3504838943481445,16.826019287109375,True,False,0.07414430698007636,4.423065365111247,0.0,0.0,0.0,4.423065365111247,4.423065365111247,-0.00892180279435184,4.15497492271976,0.2591686395971351,4.15497492271976,0.2591686395971351,4.15497492271976,0.2591686395971351
1,2026-05-11T19:48:30.329Z,2026-05-11 19:48:30.329000+00:00,2.3753666666666664,0.03958944444444444,142.522,0,0,train,1,1,4.619248390197754,7.116000175476074,6.097648143768311,7.160530090332031,20.374178409576416,True,False,0.06485487686234068,4.69347214830501,39.96796534729004,39.96796534729004,0.0,4.69347214830501,4.69347214830501,-0.07422375810725601,4.368843177842583,0.25040521235517055,4.368843177842583,0.25040521235517055,4.368843177842583,0.25040521235517055
2,2026-05-11T19:50:50.952Z,2026-05-11 19:50:50.952000+00:00,4.719083333333333,0.07865138888888888,140.623,0,0,train,1,2,4.845854759216309,6.221703052520752,9.732967376708984,8.711876869,24.666547298229737,True,False,0.06468140934493402,4.954649299351862,87.71926685545444,87.71926685545444,0.0,4.954649299351862,4.954649299351862,-0.10879454013555367,4.575411596402982,0.2704431628133266,4.575411596402982,0.2704431628133266,4.575411596402982,0.2704431628133266
3,2026-05-11T19:53:12.043Z,2026-05-11 19:53:12.043000+00:00,7.0706,0.11784333333333333,141.091,0,0,train,1,3,4.805054664611816,4.207277774810791,5.855237007141113,3.0271997451782227,13.089714527130127,True,False,0.07687344717179309,4.90383304682413,145.7230639363633,145.7230639363633,0.0,4.90383304682413,4.90383304682413,-0.09877838221231361,4.535220358847379,0.26983430576443723,4.535220358847379,0.26983430576443723,4.535220358847379,0.26983430576443723
4,2026-05-11T19:55:33.210Z,2026-05-11 19:55:33.210000+00:00,9.423383333333334,0.1570563888888889,141.167,0,0,train,1,4,4.993066787719727,2.5869803428649902,6.577486038208008,4.8657331466674805,14.030199527740479,True,False,0.0653195727042444,5.165490970579203,176.52032611388628,176.52032611388628,0.0,5.165490970579203,5.165490970579203,-0.17242418285947636,4.742169026819436,0.2508977609002905,4.742169026819436,0.2508977609002905,4.742169026819436,0.2508977609002905
5,2026-05-11T19:57:54.609Z,2026-05-11 19:57:54.609000+00:00,11.780033333333334,0.1963338888888889,141.399,0,0,train,1,5,4.670523643493652,7.768003463745117,7.414762974,7.852952003479004,23.03571844122412,True,False,0.0659096718710298,4.740267423435141,209.58459583093588,209.58459583093588,0.0,4.740267423435141,4.740267423435141,-0.06974377994148906,4.405854171878566,0.26466947161508614,4.405854171878566,0.26466947161508614,4.405854171878566,0.26466947161508614
6,2026-05-11T20:00:15.871Z,2026-05-11 20:00:15.871000+00:00,14.1344,0.23557333333333333,141.262,0,0,train,1,6,4.743302345275879,8.820981979370117,9.993937492370604,3.0263543128967285,21.84127378463745,True,False,0.08614387447024549,4.8145299840991145,263.8191234716726,263.8191234716726,0.0,4.8145299840991145,4.8145299840991145,-0.07122763882323557,4.46458940064232,0.27871294463355856,4.46458940064232,0.27871294463355856,4.46458940064232,0.27871294463355856
7,2026-05-11T20:02:37.094Z,2026-05-11 20:02:37.094000+00:00,16.488116666666667,0.27480194444444445,141.223,0,0,train,1,7,4.902092933654785,3.8793654441833496,7.435241699,2.0945754051208496,13.409182548304198,True,False,0.08437954440865048,5.042741416058761,315.2272935998035,315.2272935998035,0.0,5.042741416058761,5.042741416058761,-0.14064848240397598,4.645084801592811,0.2570081320619746,4.645084801592811,0.2570081320619746,4.645084801592811,0.2570081320619746
8,2026-05-11T20:04:58.331Z,2026-05-11 20:04:58.331000+00:00,18.842066666666664,0.3140344444444444,141.237,0,0,train,1,8,4.618697166442871,5.235406398773193,4.867502212524414,5.546240329742432,15.649148941040039,True,False,0.0645588373486729,4.728858781063189,346.79183885938414,346.79183885938414,0.0,4.728858781063189,4.728858781063189,-0.11016161462031793,4.396830927681096,0.22186623876177514,4.396830927681096,0.22186623876177514,4.396830927681096,0.22186623876177514
9,2026-05-11T20:07:19.569Z,2026-05-11 20:07:19.569000+00:00,21.196033333333332,0.35326722222222223,141.238,0,0,train,1,9,5.189899444580078,1.6605889797210691,8.562686920166016,9.065704345703123,19.28898024559021,True,False,0.053000603296404436,5.472550660107976,383.62941382829433,383.62941382829433,0.0,5.472550660107976,5.472550660107976,-0.2826512155278982,4.985026544084518,0.20487290049555984,4.985026544084518,0.20487290049555984,4.985026544084518,0.20487290049555984
