trial_id,session_id,split,n_total,n_model_valid,start_time,end_time,max_cumulative_volume_ml,median_theta_transport_s,static_rmse,transport_delay_rmse,transport_dynamic_rmse
0,0,train,20,20,2026-05-11 19:46:07.807000+00:00,2026-05-11 20:30:46.486000+00:00,763.7959314583574,0.0,0.23359944976867883,0.23359944976867883,0.23359944976867883
1,1,train,30,30,2026-05-12 13:21:36.495000+00:00,2026-05-12 14:29:57.389000+00:00,1102.365172655835,0.0,0.2516593093816581,0.2516593093816581,0.2516593093816581
2,1,train,30,30,2026-05-12 14:32:18.768000+00:00,2026-05-12 15:40:53.322000+00:00,1135.7595326227904,0.0,0.21863986415064574,0.21863986415064574,0.21863986415064574
3,1,train,30,30,2026-05-12 15:43:15.106000+00:00,2026-05-12 16:52:04.560000+00:00,1117.8582060636422,0.0,0.2147824447472757,0.2147824447472757,0.2147824447472757
4,1,train,5,5,2026-05-12 16:54:25.586000+00:00,2026-05-12 17:03:56.434000+00:00,135.7013717125356,0.0,0.1800308963650238,0.1800308963650238,0.1800308963650238
5,2,train,30,30,2026-05-12 17:46:23.537000+00:00,2026-05-12 18:55:12.452000+00:00,1110.443412012135,0.0,0.23195194896800614,0.23195194896800614,0.23195194896800614
6,2,train,30,30,2026-05-12 18:57:34.436000+00:00,2026-05-12 20:06:15.936000+00:00,1132.776921259435,0.0,0.20907905227624746,0.20907905227624746,0.20907905227624746
7,2,train,30,30,2026-05-12 20:08:37.316000+00:00,2026-05-12 21:17:10.855000+00:00,1106.5387699293685,0.0,0.27450155692990874,0.27450155692990874,0.27450155692990874
8,2,train,30,0,2026-05-12 21:19:32.410000+00:00,2026-05-12 22:28:04.624000+00:00,1128.49728975676,,,,
9,2,train,30,0,2026-05-12 22:30:26.019000+00:00,2026-05-12 23:38:46.676000+00:00,1099.7935848920888,,,,
10,2,train,26,0,2026-05-12 23:41:07.484000+00:00,2026-05-13 00:39:39.516000+00:00,900.1156487844122,,,,
11,3,train,30,30,2026-05-13 13:32:54.593000+00:00,2026-05-13 14:40:46.005000+00:00,1147.0635354845276,0.0,0.0824131056582097,0.0824131056582097,0.0824131056582097
12,3,train,30,30,2026-05-13 14:43:06.264000+00:00,2026-05-13 15:50:53.958000+00:00,1197.5206231510606,0.0,0.10640664643106583,0.10640664643106583,0.10640664643106583
13,3,train,30,30,2026-05-13 15:53:14.452000+00:00,2026-05-13 17:01:06.547000+00:00,1208.3887765373756,0.0,0.07585462666403969,0.07585462666403969,0.07585462666403969
14,3,train,30,30,2026-05-13 17:03:27.121000+00:00,2026-05-13 18:11:13.919000+00:00,1065.331335690968,0.0,0.08548387606798385,0.08548387606798385,0.08548387606798385
15,3,train,6,6,2026-05-13 18:13:33.788000+00:00,2026-05-13 18:25:13.297000+00:00,187.56115418338766,0.0,0.10163682430273781,0.10163682430273781,0.10163682430273781
16,4,train,2,2,2026-05-14 16:26:02.964000+00:00,2026-05-14 16:27:14.194000+00:00,3.5615,0.0,0.08858638924376523,0.08858638924376523,0.08858638924376523
17,4,train,10,10,2026-05-14 16:30:09.975000+00:00,2026-05-14 16:40:39.613000+00:00,159.49939245487673,0.0,0.04808610050548886,0.04808610050548886,0.04808610050548886
18,4,train,10,10,2026-05-14 16:41:49.706000+00:00,2026-05-14 16:52:19.842000+00:00,174.910049512363,0.0,0.1029399903574683,0.1029399903574683,0.1029399903574683
19,4,train,10,10,2026-05-14 16:53:29.733000+00:00,2026-05-14 17:04:00.514000+00:00,179.95543832546804,0.0,0.09733280944619625,0.09733280944619625,0.09733280944619625
20,4,train,10,10,2026-05-14 17:05:10.631000+00:00,2026-05-14 17:15:40.800000+00:00,177.05611333378246,0.0,0.12650114596143974,0.12650114596143974,0.12650114596143974
21,4,train,10,10,2026-05-14 17:16:50.776000+00:00,2026-05-14 17:27:21.085000+00:00,197.7256800477199,0.0,0.08511042292710529,0.08511042292710529,0.08511042292710529
